ISBN,name,keyword,category
P1405230006,特級酸辣味麵(5包/組),MAMA/泰國泡麵\泡麵\酸辣麵,休閒食品
P1601210031,花蓮豐興餅舖-五福開運C款禮盒,豐興/餅\伴手禮\禮盒,休閒食品
P1804250042,Ｒｏｍａｎｃｅ－北海道蘋果軟糖１０５ｇ,/,休閒食品
P1501090010,檳城福建蝦味湯麵(四入),MyKuali/南洋泡麵\泡麵\即時麵\拉麵,休閒食品
P1601130005,蠔油牛肉調理包300g(2入),調理包/料理包\即時食品,休閒食品
P1910090015,萬聖節期間限定 綜合水果風味軟糖180g(34粒),/日本\萬聖節\糖果,休閒食品
P1912310004,舊李合興蜜餞-冰梅/無籽甜梅,/舊李合興\蜜餞\冰梅\無籽\梅子,休閒食品
P1504050016,古田-餅乾香蕉巧克力,furuta /零食\餅乾\夾心餅乾\香蕉巧克力,休閒食品
P1407300004,泰國皇家牛乳片,皇家/牛奶片\牛乳片,休閒食品
P1805090015,日本Ａｍｅｈａｍａ　優格風味乳酸菌糖果　７５ｇ,/,休閒食品
P1412200016,吉兆寶山芋燒酎,酒類/酒\日本酒,休閒食品
P1501040017,Bourbon北日本-香草法蘭酥,Bourbon/北日本\零食\餅乾\法蘭酥\香草,休閒食品
P1708250017,菲律賓Ｐｉｃ－Ａ－起士脆片,/,休閒食品
P1710120020,印尼　ｄｕａ　ｋｅｌｉｎｃｉ　墨西哥脆餅－炭烤玉米風味,零食/團購美食\進口零食\午茶點心\玉米片\脆片\餅乾,休閒食品
P1708110083,雪宿綜合米果,/中元零食大賞,休閒食品
P1512300024,夢奇-蜂蜜一枚揚(20枚),夢奇/零食\餅乾\米果,休閒食品
P1412050007,Kitty造型毯+雞汁點心餅&水果糖(聖誕節限定),聖誕節限定/雞汁麵\水果糖\組合包,休閒食品
P1409010001,袋鼠餅乾 單包,Jumpy/零食\餅乾\洋芋片\薯片\袋鼠餅乾,休閒食品
P1906250010,北日本BOURBON-水果味乳酸菌喉糖100g,/北日本\BOURBON\水果糖\喉糖\乳酸菌,休閒食品
P2004300033,義美QQ巧克球50g(三入組)(多款可選),/糖果\巧克力\軟糖,休閒食品
P1705120001,日本Ｓｅａ　ｏｎｅ　兼吉無籽干梅１６０ｇ,酸梅乾/團購美食\午茶時光\酸梅,休閒食品
P1908010001,中秋禮盒預購和生御品-桃山月餅(2盒，共16入),/中秋節\禮盒\宅配\月餅\和生御品\桃山月餅,休閒食品
P1601210027,十翼饌-精選零食系列(桔仔餅2包入),十翼饌/零食\點心\桔仔餅,休閒食品
P1706010001,抹茶巧克力棒（９袋）　１１７ｇ,餅乾棒/團購美食\午茶時光\巧克力棒\零食,休閒食品
P1509270013,台中今日蜜麻花,今日/麻花捲\密麻花,休閒食品
P1503270005,青荷-有機京都抹茶拿鐵,Vilson/米森\抹茶\拿鐵,休閒食品
P1411220025,Crown鮮奶油鬆餅,Crown/韓國零食\零食\餅乾\鬆餅,休閒食品
P1505240003,Heath & Heather賀美肉桂蘋果茶,賀美/茶\茶包\蘋果茶\肉桂,休閒食品
P1604060022,巧四方(蜜糖3入),巧四方/零食\餅乾\咖哩口味,休閒食品
